Balancing Authority,Region
AEC,Southeast
AECI,Midwest
AESO ,Canadian Authorities
AVA ,Northwest
AZPS,Southwest
BANC,California
BCHA,Canadian Authorities
BPAT,Northwest
CEN,Mexican Authorities
CFE,Mexican Authorities
CHPD ,Northwest
CISO ,California
CPLE,Carolinas
CPLW ,Carolinas
DEAA,Southwest
DOPD,Northwest
DUK,Carolinas
EEI,Midwest
EPE,Southwest
ISNE,New England ISO
JEA,Florida
LDWP,California
LGEE,Midwest
MHEB,Canadian Authorities
MISO,Midwest
NBSO,Canadian Authorities
NEVP,Northwest
NSB,Florida
NWMT,Northwest
NYIS,New York Independent System Operator
OVEC,Mid-Atlantic
PACE,Northwest
PACW,Northwest
PGE,Northwest
PJM,Mid-Atlantic
PNM,Southwest
PSCO,Northwest
PSEI,Northwest
SC,Carolinas
SCEG,Carolinas
SCL,Northwest
SEC,Florida
SEPA,Southeast
SOCO,Southeast
SPA,Central
SPC,Canadian Authorities
SRP,Southwest
SWPP,Central
TAL,Florida
TEC,Florida
TEPC,Southwest
TIDC,California
TPWR,Northwest
TVA,Tennessee Valley Authority
WACM,Northwest
WALC,Southwest
WAUW,Northwest
WWA,Northwest
YAD,Carolinas
